Quelle est la couleur du maillot des sauveteurs de la série Alerte à Malibu ?;Bleue;Verte;Rouge;Jaune;3
Dans quelle ville peut-on retrouver sur les écrans le lieutenant Horatio Caine ?;Los Angeles;New York;Las Vegas;Miami;4
Pour qui travaillent les Drôles de dames, diffusées entre 1976 et 1981 sur le réseau ABC ?;Bosley;Charlie;Michael;Tatoo;2
Qui est le plus costaud des héros télévisés de la célèbre Agence tous risques ?;Barracuda;Hannibal;Futé;Looping;1
Qui détient le rôle principal dans la série télévisée américaine Dr House ?;Kiefer Sutherland;Thomas Sarbacher;Matthew Fox;Hugh Laurie;4
Quelle héroïne de la série télévisée Ma sorcière bien aimée est mariée à Jean-Pierre ?;Esmeralda;Endora;Tabatha;Samantha;4
Dans quelle série télévisée Wentworth Miller incarne-t-il Michael Scofield ?;Dr House;Prison Break;Lost;Friends;2
Quel médecin Georges Clooney incarne-t-il dans la série télévisée Urgences ?;Prison Break;Mark Green;Douglas Ross;Dylan Creed;3
Quel village la famille Ingalls habite-t-elle dans La Petite Maison dans la prairie ?;Dakota Springs;Walnut Grove;Ingalls Valley;Sailor Fields;2
Lequel de ces personnages ne fait pas partie de la bande de copains de Friends ?;Ross;Chandler;Joey;Matt;4
Quel est le nom de la célèbre voiture que David Hasselhoff pilotait dans K2000 ?;Kitt;Kate;Kytie;Katy;1
Qui joua le rôle de Donna Martin dans la série télévisée Beverly Hills 90210 ?;Jenny Garth;Tori Spelling;Hillary Swank;Carol Potter;2
Dans quelle série Aaron Hotchner perce-t-il les pensées des tueurs en série ?;Mentalist;Person of Interest;Esprits criminels;The Walking Dead;3
Qui est la sœur aînée des héroïnes de la série télévisée américaine Charmed ?;Paige;Piper;Buffy;Prue;4
Dans laquelle de ces séries télévisées trouve-t-on un super-héros ?;Stargate;Le Caméléon;Profiler;Smallville;4
Quelle est la couleur des cheveux de Miranda dans la série Sex and the City ?;Blonde;Brune;Rousse;Noire;3
Combien de saisons compte la série télévisée Lost, les disparus créée par J.J. Abrams ?;Six;Huit;Quatre;Deux;1
Qui est le meilleur ami de Dawson dans la série télévisée du même nom ?;Joey;Pacey;Jack;Dan;2
Dans quelle série télévisée Angela Lansbury interprète-t-elle le rôle de Jessica Fletcher ?;Arabesque;Friends;Médicopter;Urgences;1
Dans quelle ville se déroulent les aventures des Desperate Housewives ?;Chicago;Wisteria;Los Angeles;Fairview;4
Quelle est la race du chien de Columbo, l'inspecteur très obstiné et perspicace de la télévision ?;Barbet;Beagle;Bichon;Basset;4
Qui joue le rôle du Président Bartlet dans la série télévisée À la Maison Blanche ?;John Spencer;Rob Lowe;Martin Sheen;Gary Cole;3
Qui incarne Isabel Evans dans la série télévisée américaine Roswell ?;Majandra Delfino;Shiri Appleby;Katherine Heigl;Poppy Montgomery;3
Dans la série X-Files, quel est le prénom de la sœur de Fox Mulder ?;Ann;Sarah;Samantha;Catherine;3
Pour quelle civilisation a-t-on créé une langue artificielle dans le monde de Star Trek ?;Les Sylvidres;Les Romuliens;Les Vulcains;Les Klingons;4
La première image du générique de la série MacGyver présente une main avec quel objet ?;Un passeport;Un briquet;Un couteau suisse;Un gant de cuir;1
Qui est le créateur de la série télévisée américaine à succès Alias ?;J.J. Williams;J.J. Lionel;J.J. Morgan;J.J. Abrams;4
Qui interprète le rôle de Ling dans la série télévisée américaine Ally McBeal ?;Sarah Jessica Parker;Linda Fiorentino;Lucy Liu;Calista Flockhart;3
Quel sport est pratiqué par Lukas dans la série télé Les Frères Scott ?;Le baseball;Le basket-ball;Le hockey;Le football;2
Quel est le nom de la famille de Buffy dans la série Buffy contre les vampires ?;Bouwers;Rogers;Sanders;Summers;4
